"person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status","normalized_person_income"
21,"female","Associate",14288,0,"MORTGAGE",4575,"VENTURE",17.74,0.32,3,626,"No","1",0.000641567702343289
27.3908629441624,"male","High School",14293,0,"OOWN",1400,"PERSONAL",9.32,0.1,3,607,"No","0",0.000643166824233477
22,"female","Bachelor",79054,1,"RENT",32500,"HOMEIMPROVEMENT",9.99,0.41,3,700,"No","1",0.0213553133703221
21,"female","Bachelor",14988,0,"OTHER",4000,"EDUCATION",12.84,0.27,2,553,"No","1",0.000865444766969562
21,"male","High School",85284,0,"OWN",2000,"MEDICAL",11.12,0.13,3,589,"No","1",0.0233478192454959
230,"male","Bachelor",144855,1,"RENT",32000,"VENTURE",6.62,0.22,2,586,"Yes","0",0.0424000772695697
26,"male","Bachelor",114645,2,"RENT",31050,"HOMEIMPROVEMENT",14.17,0.27,3,681,"No","1",0.0327381828090559
27.3908629441624,"female","High School",368115,3,"RENT",24250,"DEBTCONSOLIDATION",13.85,0.07,3,567,"Yes","0",0.113804067910229
26,"female","Associate",361076,1,"RENT",7800,"MEDICAL",13.49,0.02,4,669,"No","0",0.111552824113223
21,"male","Associate",15150,0,"RENT",2500,"EDUCATION",7.51,0.17,4,600,"No","1",0.000917256316211642
22,"female","Bachelor",58868,0,"RENT",30000,"EDUCATION",18.39,0.51,2,606,"No","1",0.0148993384752565
24,"male","High School",78026,3,"RENT",30000,"DEBTCONSOLIDATION",14.54,0.38,3,582,"No","1",0.0210265339096995
25,"male","Bachelor",85284,4,"RENT",30000,"HOMEIMPROVEMENT",16.89,0.33,4,649,"No","1",0.0233478192454959
23,"female","High School",86811,0,"RENT",30000,"DEBTCONSOLIDATION",11.01,0.35,4,602,"No","1",0.0238361910707592
26,"male","Bachelor",75503,5,"RENT",30000,"MEDICAL",17.99,0.4,2,616,"No","1",0.0202196170039108
24,"female","High School",15082,0,"RENT",2500,"VENTURE",12.69,0.17,3,631,"No","1",0.00089550825850509
26,"male","Bachelor",361293,5,"RENT",20000,"VENTURE",7.88,0.06,4,684,"Yes","0",0.111622226003257
22,"male","High School",361547,0,"RENT",24250,"EDUCATION",19.41,0.07,2,637,"Yes","0",0.111703461395279
26,"male","Master",360680,5,"RENT",10000,"HOMEIMPROVEMENT",10.38,0.03,4,649,"No","0",0.11142617365952
26,"male","Bachelor",360977,5,"RENT",25000,"EDUCATION",15.33,0.07,3,695,"Yes","0",0.111521161499797
25,"female","Bachelor",361244,2,"RENT",18000,"HOMEIMPROVEMENT",16.45,0.05,3,620,"No","0",0.111606554608733
26,"male","Bachelor",98230,2,"RENT",30000,"PERSONAL",7.49,0.31,3,622,"No","1",0.0274882656435698
22,"female","High School",80838,0,"RENT",30000,"MEDICAL",12.69,0.37,3,645,"No","1",0.021925880060741
26,"male","Master",107957,2,"RENT",30000,"DEBTCONSOLIDATION",6.62,0.28,3,654,"No","1",0.0305991973687409
24,"female","Bachelor",94649,2,"RENT",30000,"DEBTCONSOLIDATION",11.01,0.32,4,624,"No","1",0.0263429745458174
23,"male","High School",94550,1,"RENT",30000,"DEBTCONSOLIDATION",18.62,0.32,3,570,"No","1",0.0263113119323917
23,"male","Bachelor",111153,3,"RENT",30000,"PERSONAL",15.23,0.27,3,648,"No","1",0.0316213560809488
23,"female","Associate",117250,0,"RENT",30000,"VENTURE",10.65,0.26,2,652,"No","1",0.0335713253138437
25,"male","Bachelor",144985,3,"RENT",30000,"EDUCATION",7.9,0.21,4,559,"No","0",0.0424416544387146
26,"male","High School",337133,7,"RENT",10000,"PERSONAL",15.96,0.03,3,623,"Yes","0",0.10389526902987
26,"male","Associate",333566,2,"RENT",20000,"VENTURE",11.48,0.06,3,602,"Yes","0",0.10275445547341
23,"male","Bachelor",333399,1,"RENT",35000,"PERSONAL",11.01,0.1,4,609,"No","0",0.102701044802278
25,"male","Master",154793,1,"RENT",30000,"PERSONAL",7.29,0.19,4,573,"Yes","0",0.0455784919385067
22,"male","Associate",15229,1,"RENT",1750,"VENTURE",11.01,0.11,3,631,"Yes","0",0.000942522442076607
21,"female","Bachelor",158338,0,"RENT",30000,"VENTURE",5.99,0.19,4,623,"Yes","0",0.0467122693586498
22,"female","Bachelor",331034,0,"RENT",12000,"VENTURE",11.58,0.04,2,602,"Yes","0",0.101944660148219
26,"female","High School",316466,6,"RENT",10000,"EDUCATION",11.01,0.03,4,579,"No","1",0.0972854586089686
25,"female","Associate",267671,0,"RENT",25000,"MEDICAL",15.7,0.09,2,582,"No","1",0.0816796280826273
22,"male","Master",85191,0,"RENT",29100,"EDUCATION",15.99,0.34,3,700,"No","1",0.0233180755783384
22,"male","Associate",15013,0,"RENT",1500,"EDUCATION",14.84,0.1,3,688,"No","0",0.0008734403764205
26,"male","Bachelor",313100,3,"RENT",28000,"HOMEIMPROVEMENT",10.99,0.09,3,607,"Yes","0",0.0962089297524943
25,"female","Bachelor",311952,0,"RENT",20000,"HOMEIMPROVEMENT",14.42,0.06,2,661,"Yes","0",0.0958417713665072
24,"male","High School",306897,5,"RENT",9600,"EDUCATION",6.99,0.03,2,562,"Yes","0",0.0942250591355275
25,"female","Bachelor",301136,0,"RENT",25000,"MEDICAL",13.49,0.08,4,664,"Yes","0",0.0923825508936533
25,"male","High School",15162,1,"RENT",3000,"MEDICAL",11.01,0.2,3,564,"No","1",0.000921094208748092
22,"male","Associate",69042,0,"RENT",28000,"MEDICAL",11.01,0.41,2,598,"No","1",0.0181532316974103
21,"female","High School",15307,0,"RENT",3000,"EDUCATION",13.61,0.2,3,557,"No","1",0.000967468743563534
23,"female","Associate",79183,0,"RENT",28000,"EDUCATION",7.9,0.35,2,677,"No","1",0.0213965707150889
22,"male","Bachelor",102654,4,"RENT",28000,"VENTURE",7.49,0.27,3,690,"No","1",0.0289031686920078
350,"male","Associate",15229,1,"RENT",6100,"EDUCATION",7.51,0.4,3,599,"No","1",0.000942522442076607
22,"male","High School",106566,0,"RENT",28000,"VENTURE",9.91,0.26,3,604,"No","1",0.0301543216588907
21,"female","Bachelor",15252,0,"RENT",4200,"PERSONAL",13.48,0.28,4,663,"No","1",0.00094987840277147
22,"male","Bachelor",15432,3,"RENT",4750,"DEBTCONSOLIDATION",7.14,0.31,2,601,"No","1",0.00100744679081823
24,"male","High School",100332,1,"RENT",28000,"VENTURE",15.99,0.28,4,634,"No","1",0.0281605364862047
24,"male","Bachelor",300951,2,"RENT",18000,"EDUCATION",12.98,0.06,3,671,"No","0",0.0923233833837163
144,"male","Bachelor",300616,125,"RENT",4800,"VENTURE",13.57,0.02,3,789,"No","0",0.0922162422170738
25,"female","Bachelor",121062,1,"RENT",28000,"DEBTCONSOLIDATION",12.69,0.23,3,622,"No","0",0.0347904958429227
26,"male","Associate",133372,1,"RENT",28000,"EDUCATION",8.9,0.21,2,538,"Yes","0",0.0387275339365648
26,"male","Bachelor",15505,0,"RENT",2700,"DEBTCONSOLIDATION",11.01,0.17,4,587,"No","1",0.00103079397041497
22,"male","Master",130852,0,"RENT",28000,"EDUCATION",11.01,0.21,4,683,"No","1",0.0379215765039102
23,"male","Associate",182316,0,"RENT",28000,"DEBTCONSOLIDATION",11.11,0.15,2,634,"Yes","0",0.0543810182952337
24,"female","Bachelor",83853,3,"RENT",27600,"HOMEIMPROVEMENT",11.01,0.33,2,690,"No","1",0.0228901505605242
21,"female","Bachelor",15394,0,"RENT",3250,"DEBTCONSOLIDATION",15.68,0.21,3,518,"No","1",0.0009952934644528
22,"female","Bachelor",85243,0,"RENT",27500,"EDUCATION",13.06,0.32,3,583,"No","1",0.0233347064459964
22,"male","Associate",288907,2,"RENT",25000,"PERSONAL",11.01,0.09,2,617,"Yes","0",0.0884714185746323
26,"male","Associate",89074,4,"RENT",27050,"VENTURE",15.62,0.3,2,668,"No","1",0.0245599536382582
22,"male","Master",100509,2,"RENT",27000,"PERSONAL",13.49,0.27,2,673,"No","1",0.0282171454011173
24,"male","High School",88950,3,"RENT",27000,"VENTURE",11.01,0.3,3,706,"No","1",0.0245202954153815
23,"female","High School",75894,1,"RENT",26000,"MEDICAL",11.71,0.34,2,536,"No","1",0.0203446683357235
22,"male","Associate",145092,0,"RENT",25600,"EDUCATION",12.69,0.18,3,557,"Yes","0",0.0424758756471646
22,"female","Bachelor",15928,1,"RENT",1600,"MEDICAL",13.57,0.1,3,689,"Yes","0",0.00116607968232484
22,"male","Bachelor",73131,3,"RENT",25475,"VENTURE",10.99,0.35,3,681,"No","1",0.0194609935792058
25,"male","Master",281501,4,"RENT",20000,"MEDICAL",14.27,0.07,4,623,"Yes","0",0.0861027992308863
24,"female","Associate",281775,0,"RENT",20000,"HOMEIMPROVEMENT",8.88,0.07,4,595,"Yes","0",0.0861904311104686
26,"male","Bachelor",281792,1,"RENT",21600,"HOMEIMPROVEMENT",12.18,0.08,3,584,"Yes","0",0.0861958681248953
25,"male","Bachelor",266090,4,"RENT",11900,"DEBTCONSOLIDATION",14.42,0.04,3,669,"No","1",0.0811739857409499
26,"male","High School",279664,3,"RENT",25000,"MEDICAL",14.17,0.09,2,642,"Yes","0",0.0855152818484314
25,"female","High School",277017,4,"RENT",35000,"MEDICAL",13.99,0.13,4,622,"Yes","0",0.084668706719766
23,"male","Associate",100756,0,"RENT",25300,"EDUCATION",10.99,0.25,3,689,"No","1",0.0282961420224926
22,"male","High School",16218,1,"RENT",2000,"PERSONAL",5.42,0.12,4,614,"No","1",0.00125882875195573
22,"female","Bachelor",16211,2,"RENT",1750,"PERSONAL",13.61,0.11,3,597,"Yes","0",0.00125658998130946
21,"female","Bachelor",51922,3,"RENT",25000,"EDUCATION",12.73,0.48,3,673,"No","1",0.0126778383454078
24,"male","Associate",50309,3,"RENT",25000,"HOMEIMPROVEMENT",11.01,0.5,3,625,"No","1",0.0121619616236332
25,"male","High School",16378,0,"RENT",3000,"DEBTCONSOLIDATION",12.87,0.18,4,603,"No","1",0.00131000065244173
24,"male","Bachelor",16572,0,"RENT",3650,"HOMEIMPROVEMENT",9.91,0.22,3,589,"No","1",0.00137204658178101
26,"male","Master",272201,5,"RENT",20000,"HOMEIMPROVEMENT",11.49,0.07,4,670,"Yes","0",0.0831284325151373
25,"female","Bachelor",271324,3,"RENT",30000,"HOMEIMPROVEMENT",19.91,0.11,2,637,"Yes","0",0.0828479465355984
26,"male","Associate",256862,2,"RENT",35000,"EDUCATION",10.65,0.14,2,643,"No","1",0.0782226463804196
24,"male","High School",271342,0,"RENT",6000,"MEDICAL",11.01,0.02,4,508,"Yes","0",0.0828537033744031
24,"male","High School",16470,2,"RENT",4500,"DEBTCONSOLIDATION",11.83,0.27,4,643,"No","1",0.00133942449522118
23,"male","High School",16599,0,"RENT",2400,"DEBTCONSOLIDATION",13.49,0.14,2,505,"No","1",0.00138068183998803
22,"male","Bachelor",51608,0,"RENT",25000,"MEDICAL",14.59,0.48,2,593,"No","1",0.012577413490704
26,"female","Master",58516,6,"RENT",25000,"EDUCATION",9.64,0.43,4,686,"No","1",0.0147867602941873
25,"female","Associate",16395,4,"RENT",3600,"MEDICAL",14.59,0.22,3,646,"No","1",0.00131543766686837
22,"female","Bachelor",16890,0,"RENT",4750,"EDUCATION",11.01,0.28,3,645,"No","1",0.00147375073399695
25,"female","Associate",51747,3,"RENT",25000,"EDUCATION",16.35,0.48,3,697,"No","1",0.0126218690792512
21,"male","High School",59864,0,"RENT",25000,"EDUCATION",10.99,0.42,2,648,"No","1",0.0152178835557818
22,"male","Master",270972,1,"RENT",25000,"VENTURE",18.67,0.09,2,640,"Yes","0",0.0827353683545292
22,"male","Bachelor",270870,5,"RENT",3000,"EDUCATION",9.32,0.01,4,681,"No","0",0.0827027462679693
23,"female","Associate",270729,0,"RENT",7500,"DEBTCONSOLIDATION",8.63,0.03,2,646,"No","0",0.082657651030666
26,"male","Bachelor",270877,4,"RENT",25000,"VENTURE",10.08,0.09,2,615,"Yes","0",0.0827049850386156
22,"male","Associate",60501,0,"RENT",25000,"PERSONAL",11.83,0.41,3,687,"No","1",0.0154216116845918
23,"male","High School",60754,1,"RENT",25000,"DEBTCONSOLIDATION",7.9,0.41,3,650,"No","1",0.0155025272522353
25,"male","Bachelor",60829,0,"RENT",25000,"HOMEIMPROVEMENT",5.99,0.41,2,588,"No","1",0.0155265140805881
24,"male","Bachelor",53825,2,"RENT",25000,"DEBTCONSOLIDATION",15.33,0.46,2,652,"No","1",0.0132864641368132
23,"male","High School",60801,0,"RENT",25000,"VENTURE",11.83,0.41,4,658,"No","1",0.015517558998003
22,"male","High School",60747,0,"RENT",25000,"VENTURE",10.36,0.41,2,634,"No","1",0.015500288481589
22,"female","High School",61029,0,"RENT",25000,"VENTURE",12.23,0.41,3,623,"No","1",0.0155904789561956
22,"female","Associate",63236,0,"RENT",25000,"EDUCATION",11.11,0.4,4,635,"No","1",0.0162963313585244
23,"female","Bachelor",17149,0,"RENT",4950,"DEBTCONSOLIDATION",7.9,0.29,4,531,"No","1",0.00155658524790867
24,"female","Master",265066,4,"RENT",25000,"EDUCATION",11.58,0.09,2,665,"Yes","0",0.0808464855778395
23,"male","Associate",260205,2,"RENT",21000,"DEBTCONSOLIDATION",8.9,0.08,3,703,"No","0",0.079291819276199
25,"female","Associate",260035,5,"RENT",25000,"EDUCATION",16.07,0.1,3,585,"Yes","0",0.0792374491319327
26,"female","Bachelor",260444,4,"RENT",20000,"EDUCATION",14.22,0.08,2,594,"No","0",0.07936825730255
23,"male","Bachelor",258980,0,"RENT",35000,"MEDICAL",14.79,0.14,3,618,"Yes","0",0.0789000344131031
22,"male","High School",259081,2,"RENT",12000,"EDUCATION",7.88,0.05,2,626,"Yes","0",0.0789323366752849
23,"male","High School",63497,0,"RENT",25000,"PERSONAL",13.22,0.39,2,695,"No","1",0.0163798055211922
26,"female","Doctorate",56325,2,"RENT",25000,"DEBTCONSOLIDATION",11.86,0.44,4,690,"No","1",0.014086025081907
22,"male","Bachelor",64842,0,"RENT",25000,"EDUCATION",13.43,0.39,4,574,"No","1",0.0168099693096527
26,"female","High School",57856,0,"RENT",25000,"HOMEIMPROVEMENT",15.28,0.43,2,602,"No","1",0.0145756762046825
23,"male","Associate",57318,0,"RENT",25000,"VENTURE",17.93,0.44,2,679,"No","1",0.0144036106892983
23,"female","High School",16916,2,"RENT",1400,"EDUCATION",9.25,0.08,4,615,"No","0",0.00148206616782592
21,"male","Master",16664,0,"RENT",4500,"VENTURE",12.98,0.27,4,601,"No","1",0.00140147042456047
22,"male","Associate",252803,0,"RENT",16000,"VENTURE",10.62,0.06,4,577,"Yes","0",0.0769244792299652
22,"female","Associate",253061,3,"RENT",22000,"PERSONAL",11.83,0.09,4,588,"Yes","0",0.0770069939194989
26,"male","Bachelor",58602,8,"RENT",25000,"VENTURE",18.43,0.43,2,595,"No","1",0.0148142651906985
22,"male","High School",67012,2,"RENT",25000,"EDUCATION",11.01,0.37,4,653,"No","1",0.0175039882099941
24,"female","Master",66643,3,"RENT",25000,"HOMEIMPROVEMENT",11.01,0.38,4,663,"No","1",0.0173859730144983
23,"male","Bachelor",66599,0,"RENT",25000,"EDUCATION",11.36,0.38,3,653,"No","1",0.0173719007418646
23,"male","Associate",67212,2,"RENT",25000,"EDUCATION",15.65,0.37,3,598,"No","1",0.0175679530856016
24,"female","High School",66918,1,"RENT",25000,"PERSONAL",13.22,0.37,4,630,"No","1",0.0174739247184586
26,"male","Associate",68066,2,"RENT",25000,"DEBTCONSOLIDATION",12.87,0.37,2,637,"No","1",0.0178410831044457
24,"male","Associate",245545,1,"RENT",20000,"MEDICAL",13.04,0.08,3,660,"Yes","0",0.0746031938941688
23,"male","Associate",229083,0,"RENT",22000,"EDUCATION",17.58,0.1,3,639,"No","1",0.069338244982915
23,"male","High School",17859,0,"RENT",7750,"PERSONAL",17.04,0.43,4,626,"No","1",0.00178366055631532
22,"female","Associate",72608,3,"RENT",25000,"PERSONAL",10.99,0.34,3,612,"No","1",0.0192937254294922
24,"male","Bachelor",73073,1,"RENT",25000,"PERSONAL",11.11,0.34,3,628,"No","1",0.0194424437652796
26,"female","Master",65880,2,"RENT",25000,"DEBTCONSOLIDATION",14.83,0.38,2,592,"No","1",0.0171419470140556
23,"male","High School",17755,1,"RENT",4000,"DEBTCONSOLIDATION",11.01,0.23,3,580,"No","1",0.00175039882099941
24,"male","Bachelor",241180,3,"RENT",12000,"MEDICAL",12.69,0.05,2,634,"No","0",0.073207160484035
24,"male","Associate",240894,3,"RENT",12000,"HOMEIMPROVEMENT",13.49,0.05,2,678,"No","0",0.0731156907119163
21,"male","High School",240980,0,"RENT",16000,"EDUCATION",14.65,0.07,4,557,"Yes","0",0.0731431956084275
25,"male","Bachelor",65742,3,"RENT",25000,"HOMEIMPROVEMENT",16.82,0.38,4,672,"No","1",0.0170978112498865
23,"male","Bachelor",72713,0,"RENT",25000,"PERSONAL",12.73,0.34,3,613,"No","1",0.0193273069891861
23,"male","High School",72627,3,"RENT",25000,"PERSONAL",10.25,0.34,4,566,"No","1",0.0192998020926749
21,"male","Associate",72843,0,"RENT",25000,"EDUCATION",10.99,0.34,4,718,"No","1",0.019368884158331
25,"male","High School",75504,4,"RENT",25000,"MEDICAL",12.73,0.33,2,484,"No","1",0.0202199368282889
22,"female","High School",68824,0,"RENT",25000,"HOMEIMPROVEMENT",14.96,0.36,3,634,"No","1",0.0180835099829981
23,"female","Bachelor",241167,2,"RENT",28000,"EDUCATION",11.01,0.12,2,653,"Yes","0",0.0732030027671205
21,"male","Bachelor",241060,0,"RENT",25000,"DEBTCONSOLIDATION",13.99,0.1,2,699,"No","0",0.0731687815586705
24,"male","High School",240855,0,"RENT",24000,"VENTURE",7.49,0.1,4,656,"Yes","0",0.0731032175611728
22,"male","High School",241030,3,"RENT",15000,"EDUCATION",14.79,0.06,3,626,"Yes","0",0.0731591868273294
25,"male","High School",240895,2,"RENT",15500,"DEBTCONSOLIDATION",11.99,0.06,2,659,"No","0",0.0731160105362943
24,"female","High School",240932,4,"RENT",10000,"EDUCATION",8.49,0.04,4,604,"Yes","0",0.0731278440382817
24,"male","Associate",80145,1,"RENT",25000,"EDUCATION",9.91,0.31,2,636,"No","1",0.021704241766761
22,"male","Master",80303,0,"RENT",25000,"EDUCATION",13.06,0.31,3,554,"No","1",0.021754774018491
22,"male","High School",241048,0,"RENT",9000,"DEBTCONSOLIDATION",6.17,0.04,4,587,"Yes","0",0.073164943666134
144,"male","Associate",241424,121,"RENT",6000,"EDUCATION",11.86,0.02,2,807,"No","0",0.0732851976322762
25,"male","Bachelor",241005,4,"RENT",18000,"EDUCATION",16.32,0.07,3,708,"Yes","0",0.0731511912178784
22,"female","Master",240768,2,"RENT",12000,"VENTURE",10.38,0.05,2,669,"Yes","0",0.0730753928402835
25,"male","Associate",241201,2,"RENT",23050,"PERSONAL",14.35,0.1,3,578,"No","0",0.0732138767959738
24,"male","Bachelor",240920,5,"RENT",20000,"DEBTCONSOLIDATION",11.01,0.08,3,615,"No","0",0.0731240061457453
22,"male","Master",72919,1,"RENT",25000,"DEBTCONSOLIDATION",11.01,0.34,2,553,"No","1",0.0193931908110618
21,"male","Master",18008,0,"RENT",3000,"HOMEIMPROVEMENT",11.01,0.17,4,635,"No","1",0.00183131438864291
26,"female","Associate",81238,3,"RENT",25000,"PERSONAL",15.21,0.31,2,531,"No","1",0.0220538098119561
23,"male","High School",80868,1,"RENT",25000,"EDUCATION",7.9,0.31,4,621,"No","1",0.0219354747920822
22,"male","Bachelor",81537,1,"RENT",25000,"VENTURE",10.99,0.31,3,674,"No","1",0.0221494373009893
24,"female","Associate",82741,0,"RENT",25000,"PERSONAL",14.09,0.3,3,688,"No","1",0.0225345058521465
25,"female","High School",83901,3,"RENT",25000,"PERSONAL",17.49,0.3,2,597,"No","1",0.02290550213067
22,"male","Associate",240717,1,"RENT",12000,"EDUCATION",11.48,0.05,3,640,"No","0",0.0730590817970036
26,"male","Associate",226744,0,"RENT",20000,"VENTURE",17.74,0.09,2,621,"No","1",0.0685901757626852
26,"female","Bachelor",241114,5,"RENT",3000,"PERSONAL",13.92,0.01,3,608,"Yes","0",0.0731860520750845
25,"male","Bachelor",85284,3,"RENT",25000,"EDUCATION",15.21,0.29,3,653,"No","1",0.0233478192454959
22,"female","Bachelor",18152,0,"RENT",4000,"MEDICAL",10.99,0.22,3,585,"No","1",0.00187736909908031
